commonName,lat,lon,NbDocks,geometry,Station_number,Community,Average Inbound Duration (minutes),Average Outbound Duration (minutes)
"LSBU (Borough Road), Elephant & Castle",51.498744,-0.103132,35,POINT (701065.8570929484 5709268.869235024),1095,2,11.194720138888888,10.068121028037384
"St. Mary Axe, Aldgate",51.514225,-0.08066,21,POINT (702556.592537762 5711052.058492201),1184,1,11.669077810266407,12.528690501792115
"Tysoe Street, Clerkenwell",51.526443,-0.109256,20,POINT (700519.160004088 5712331.67972695),1146,1,9.753037836438923,9.905134930777423
"Southwick Street, Paddington",51.515953,-0.169249,17,POINT (696403.6077343179 5711002.592936154),3490,0,14.724229622132253,13.99659305993691
"Regency Street, Westminster",51.49206,-0.132224,22,POINT (699076.1522235565 5708446.181571564),1155,3,10.147501761252448,10.8284126118068
"Belgrave Road, Victoria",51.493204,-0.144132,29,POINT (698244.7078195581 5708541.043619122),1087,3,12.464409473150962,12.800620904761907
"Empire Square, The Borough",51.500823,-0.08974,46,POINT (701985.9937061057 5709536.903162603),1209,2,9.380205871212121,9.862063802816902
"Baylis Road, Waterloo",51.501444,-0.110699,22,POINT (700528.8896517177 5709548.29140042),1133,2,8.86442291836181,9.613289021956088
"Belvedere Road 1, South Bank",51.506133,-0.114686,38,POINT (700231.6641706203 5710058.702000133),1186,1,10.586164506769826,11.178658210007047
"Barbican Centre, Barbican",51.520044,-0.092176,19,POINT (701731.9923194681 5711667.196516773),1191,1,9.40720120246085,10.748691489361702
"Lower Thames Street, Monument",51.509301,-0.084985,24,POINT (702278.383671973 5710492.634741691),1098,2,13.285557549019607,12.46991499238965
"Tooley Street, Bermondsey",51.503493,-0.07962,27,POINT (702676.3816705614 5709861.744373421),1142,2,11.987084662576688,11.956944602272728
"Royal Avenue 2, Chelsea",51.490083,-0.162418,10,POINT (696989.0480384491 5708144.658691603),3462,3,13.85479365530303,13.339894000000001
"Smith Square, Westminster",51.495805,-0.127575,18,POINT (699382.4685252494 5708875.216264577),3480,3,13.699919453828828,13.56950634218289
"Kingsway, Covent Garden",51.514409,-0.118478,16,POINT (699932.309677859 5710968.471359404),1141,0,11.286159856630825,10.957002959501558
"Lambeth North Station, Waterloo",51.49914,-0.112031,20,POINT (700446.5746796948 5709288.478944284),1117,2,9.167443215339233,9.063836706349205
"Bedford Way, Bloomsbury",51.523673,-0.128377,23,POINT (699205.159711735 5711971.453795089),1156,0,11.095916163003663,12.324591748768473
"Elizabeth Bridge, Victoria",51.492369,-0.147478,34,POINT (698016.102754892 5708439.146307175),1138,3,13.971398830409356,13.781665772870662
"South Audley Street, Mayfair",51.50923,-0.151289,15,POINT (697678.5948936294 5710303.487586675),3493,3,12.356429656862746,11.581389678030304
"St Mary's Hospital, Paddington",51.518268,-0.171103,20,POINT (696265.0407447156 5711255.00555524),3496,0,15.39465021141649,14.082784317585302
"Montpelier Street, Knightsbridge",51.498884,-0.165471,16,POINT (696739.2296592321 5709114.963151789),1206,3,15.0889691375969,14.862498976608187
"Swan Street, The Borough",51.500296,-0.092762,27,POINT (701778.6216513645 5709469.971805068),1216,2,10.604742696267696,11.032591305655837
"Geraldine Street, Elephant & Castle",51.496127,-0.106,17,POINT (700878.3439261065 5708970.029642194),3498,2,12.704468536585365,11.022979110105581
"Curlew Street, Shad Thames",51.502279,-0.074189,21,POINT (703058.6221852902 5709741.830804684),1213,2,13.453710341240116,12.791614932126697
"Vincent Square, Westminster",51.493985,-0.136928,19,POINT (698741.2935086746 5708647.419490149),1196,3,11.599573199329983,12.825592723004696
"Marylebone Lane, Marylebone",51.514759,-0.148105,24,POINT (697875.5287661741 5710926.824546779),1152,0,11.051874688644688,10.002045728291318
"Albert Gate, Hyde Park",51.502953,-0.158456,34,POINT (697208.4640703334 5709586.251576245),1132,3,17.2535703988604,18.9102945450325
"Rathbone Street, Fitzrovia",51.518162,-0.135025,16,POINT (698768.0780099899 5711340.641871662),3497,0,11.297630190677966,9.60407390438247
"Long Lane , Bermondsey",51.499075,-0.085666,20,POINT (702276.4370427174 5709353.81423196),1189,2,10.779786041263701,11.057533800350264
"Embankment (Savoy), Strand",51.509631,-0.119047,41,POINT (699913.7631274319 5710435.689069264),1192,3,13.2290875,13.689936972343522
"Black Prince Road, Vauxhall",51.490867,-0.116911,19,POINT (700144.1810747804 5708355.314895638),1205,2,12.699531632010082,11.785819793681496
"Foley Street, Fitzrovia",51.519181,-0.140485,24,POINT (698384.9116155463 5711439.11377541),3494,0,10.788450712025316,10.356658894105372
"Wells Street, Fitzrovia",51.517344,-0.138072,38,POINT (698560.2800223067 5711241.419025182),3495,0,11.054324864752392,10.824703400083438
"Tyers Gate, Bermondsey",51.500889,-0.083159,36,POINT (702442.3654329994 5709562.430660647),3485,2,11.953028489159891,12.451201699346404
"The Tennis Courts, The Regent's Park",51.525367,-0.153463,16,POINT (697457.9308329399 5712091.771370863),1199,0,11.906980555555554,11.347669027181688
"Warwick Row, Westminster",51.497998,-0.14296,21,POINT (698305.2325389134 5709077.227141427),968,3,13.168947395833333,12.858923300515704
"Dickens Square, Borough",51.496791,-0.093913,32,POINT (701714.2327554243 5709077.107989187),1208,2,9.642013679245283,8.932865077071291
"Sackville Street, Mayfair",51.510048,-0.138846,18,POINT (698538.3243180409 5710428.131572438),1197,0,12.898357281858129,13.145583479212254
"Baldwin Street, St. Luke's",51.527025,-0.088542,21,POINT (701953.1514140401 5712453.38310053),3500,1,10.298780892504931,11.439908943630716
"Queen Mother Sports Centre, Victoria",51.493573,-0.139956,26,POINT (698532.9337103763 5708593.392280496),1148,3,10.218642430025445,9.229954788838613
"Bermondsey Street, Bermondsey",51.497855,-0.081608,24,POINT (702563.4492599255 5709229.400636813),2637,2,11.356967010309278,11.753420980639731
"Palissy Street, Shoreditch",51.526293,-0.073955,26,POINT (702968.0367100543 5712412.379771171),3502,1,9.984254918815664,9.845031153846154
"Clifton Street, Shoreditch",51.523196,-0.083067,24,POINT (702349.8327273645 5712042.802638378),3501,1,10.627997169811321,10.859205
"Ontario Street, Elephant & Castle",51.49652,-0.101384,15,POINT (701196.9570311696 5709026.407178416),1200,2,10.61016320582878,9.688901893939395
"St. Martin's Street, West End",51.509087,-0.129697,18,POINT (699177.2562308022 5710346.1555585805),1158,3,14.9576435302391,14.593147429078016
"Graham Street, Angel",51.532661,-0.099981,26,POINT (701134.9859140397 5713048.478187342),1131,1,10.921567913385827,11.618391274113954
"New North Road 2, Hoxton",51.53114,-0.086016,22,POINT (702110.1000406959 5712917.8729747),2641,1,9.63403289800995,10.13107064137308
"Bunhill Row, Moorgate",51.520858,-0.089887,30,POINT (701887.1607355529 5711764.013916652),1211,1,8.678254462911665,9.49316808647951
"Concert Hall Approach 1, South Bank",51.505044,-0.115851,10,POINT (700155.606444915 5709934.437082032),2635,2,12.068208833768493,11.873945082815736
"Tavistock Street, Covent Garden",51.511968,-0.120718,33,POINT (699787.6028955439 5710690.956093153),1207,0,11.64110705376344,11.706297036474163
"Concert Hall Approach 2, South Bank",51.504942,-0.115533,18,POINT (700178.1181915462 5709923.966618742),1212,1,11.470951359832636,11.259093770226537
"Wellington Street , Strand",51.511756,-0.119643,24,POINT (699863.109118208 5710670.322067618),1202,2,11.493822446383133,11.030289583333333
"Risinghill Street, Angel",51.533319,-0.111781,25,POINT (700313.8469744683 5713089.247461584),1127,0,11.674012362030904,11.511125958702065
"Bank of England Museum, Bank",51.514441,-0.087587,16,POINT (702075.1039451705 5711056.914529928),1201,1,11.067736356497841,10.97551186299081
"Craven Street, Strand",51.508103,-0.126021,23,POINT (699436.5934784916 5710246.767487884),1160,3,10.957425246062991,11.349705349794238
"Goswell Road (City Uni), Finsbury",51.528246,-0.101026,17,POINT (701081.9843391203 5712554.736951834),1222,1,8.248663333333333,10.790084523809524
"Lower Marsh, Waterloo",51.500139,-0.113936,17,POINT (700309.9964152314 5709394.3320089225),1219,2,10.855859192982455,10.139250601202404
"Grosvenor Square, Mayfair",51.51217,-0.150481,17,POINT (697721.9183971774 5710632.548091174),10627,3,11.055723370064278,9.721598235840297
"St. George Street, Mayfair",51.51196,-0.142783,18,POINT (698256.8784178469 5710630.034773718),1221,3,12.34946280133001,11.730714024975985
"Macclesfield Rd, St Lukes",51.529423,-0.097122,28,POINT (701347.530573712 5712696.339062954),1226,1,10.457516580976863,10.5438068119891
"Greycoat Street , Westminster",51.494591,-0.134234,17,POINT (698925.6242408394 5708722.116563433),10623,3,9.130588828828829,9.335421901709402
"Northumberland Avenue, Strand",51.506767,-0.123702,37,POINT (699603.328780533 5710104.553017837),1097,3,11.97147523076923,13.327036735870818
"Howland Street, Fitzrovia",51.520994,-0.139016,30,POINT (698478.9215536857 5711644.672899664),2691,0,11.27905085931255,10.143978618693135
"High Holborn , Covent Garden",51.516226,-0.124826,20,POINT (699483.9996090948 5711153.157806039),1229,0,10.563206919970632,10.162826733084268
"Butler Place, Westminster",51.497829,-0.13544,18,POINT (698827.8289020646 5709078.846000216),2662,3,13.317286429663609,12.578535747663551
"Howick Place, Westminster",51.496753,-0.138733,27,POINT (698603.9851784738 5708950.270472279),2666,3,11.612489550827423,11.573048690671031
"Waterloo Station 2, Waterloo",51.503919,-0.113426,48,POINT (700328.8019102656 5709815.995108536),2692,1,11.18923501602564,12.00276331920904
"Store Street, Bloomsbury",51.519572,-0.13214,32,POINT (698962.0500481067 5711505.252687159),3507,0,11.131069090489381,10.442294279946164
"City Road, Angel",51.530344,-0.100168,47,POINT (701132.2355936889 5712790.355687371),2690,1,10.314248261238339,9.890634987277354
"Millennium Hotel, Mayfair",51.510919,-0.151126,27,POINT (697682.5892949575 5710491.715465748),1230,3,12.08838107638889,13.71402194616977
"Harrowby Street, Marylebone",51.517372,-0.164207,16,POINT (696747.2507808659 5711173.911362118),2680,0,11.650272235112142,12.18205745341615
"Harriet Street, Knightsbridge",51.500241,-0.15934,25,POINT (697158.8335180253 5709282.341746918),2681,3,11.713394014084507,13.601198018648018
"King Edward Walk, Waterloo",51.49775,-0.10988,22,POINT (700601.9475052847 5709139.831892676),2639,2,10.306598801742918,10.890005450733753
"Waterloo Station 1, Waterloo",51.504027,-0.113864,36,POINT (700297.9366144529 5709826.8034642935),2696,1,10.646233944482523,11.34599991621984
"Millbank Tower, Pimlico",51.491884,-0.125674,24,POINT (699531.525412826 5708444.454331138),2683,3,13.963196051282052,14.370588033072236
"Waterloo Bridge, South Bank",51.505354,-0.113656,15,POINT (700306.547090664 5709974.911073448),2648,0,11.158772884615384,12.0111235395189
"Stanhope Gate, Mayfair",51.506864,-0.150666,21,POINT (697732.0659247618 5710042.1132977335),3506,3,10.719815209471767,11.764355147058822
"Charlotte Street, Fitzrovia",51.51953,-0.135777,14,POINT (698709.9580700608 5711490.696136245),2669,0,10.25705387689848,10.064893127572017
"Farm Street, Mayfair",51.509351,-0.147449,15,POINT (697944.4871125876 5710327.324074982),2678,3,11.220658865248227,12.439524545454544
"Fire Brigade Pier, Vauxhall",51.493699,-0.121394,30,POINT (699820.6403990678 5708657.928922616),2703,3,11.331783808016878,11.184304110813226
"Southampton Street, Strand",51.510701,-0.121723,14,POINT (699723.4248797004 5710547.344197414),1228,3,12.332126673164392,11.893836747361886
"Buxton Street 1, Shoreditch",51.521776,-0.068856,41,POINT (703341.7953293375 5711924.338617318),1223,1,14.405111872146117,13.406285507246377
"Clifford Street, Mayfair",51.510662,-0.142345,17,POINT (698292.9033437793 5710486.907147115),2688,3,12.821517521367522,11.997567768595042
"Snow Hill, Farringdon",51.517334,-0.103604,15,POINT (700951.2541455679 5711334.436793905),2699,1,9.40174282051282,10.081035508308895
"Cadogan Gardens, Chelsea",51.492462,-0.159919,15,POINT (697152.2323184309 5708415.8922658125),2695,3,13.011291797900261,13.309256112702961
"Shouldham Street, Marylebone",51.51809,-0.163609,16,POINT (696785.6362808743 5711255.3493794575),2693,0,10.713142192803803,9.734109462151393
"Brick Lane Market, Shoreditch",51.522617,-0.071653,24,POINT (703144.0531902127 5712010.06937505),2687,1,10.419646706192358,11.065195381526104
"George Street, Marylebone",51.517703,-0.154106,27,POINT (697446.4961956562 5711237.930414013),1225,0,11.380114837819185,11.043920437405733
"Columbia Road, Shoreditch",51.528187,-0.075375,24,POINT (702861.1337081576 5712619.0170144485),2701,1,12.644963607843136,12.005709675281643
"George Place Mews, Marylebone",51.516892,-0.158249,16,POINT (697162.6140893222 5711136.585945214),10630,0,10.181547628205127,9.912214459930313
"Sun Street, Liverpool Street",51.520009,-0.083935,24,POINT (702303.7605494669 5711686.0667873),1129,1,10.67580671641791,10.827498037918872
"Strata, Elephant & Castle",51.493146,-0.099828,41,POINT (701319.812222693 5708655.561556398),10624,2,11.157335966850829,11.126069458653026
"Edgware Road Station, Marylebone",51.519968,-0.169774,64,POINT (696349.9133017033 5711447.5836651195),1058,0,13.014798898467433,11.319287690355331
"Southwark Station 2, Southwark",51.504044,-0.104778,45,POINT (700928.3099926754 5709853.608791738),22163,2,10.033929578544063,10.174139652448657
"Eaton Square (South), Belgravia",51.494561,-0.153933,31,POINT (697558.6118166773 5708665.409604556),22164,3,12.203021195652173,13.629813194444445
"Ebury Bridge, Pimlico",51.490491,-0.149186,29,POINT (697905.6952971604 5708225.725208079),22159,3,12.14356447368421,12.870577097130244
"Vincent Street, Pimlico",51.493072,-0.129925,17,POINT (699231.3007835702 5708564.954966623),22161,3,9.478485510688836,10.726333093278464
"Cheapside, Bank",51.51397,-0.09294,43,POINT (701705.8443718473 5710989.773688612),22180,1,10.732810314685313,10.543668960734102
"Crinan Street, King's Cross",51.534474,-0.122203,20,POINT (699586.1071976232 5713189.1669219285),22183,0,13.45065626326964,15.3786977582846
"Wren Street, Holborn",51.524564,-0.116279,33,POINT (700040.33467564 5712103.536937161),22169,0,8.58218319649699,8.367335905680601
"Kennington Station, Kennington",51.488852,-0.105593,23,POINT (700938.5908196815 5708162.302816168),22170,2,11.22204253214639,12.1451593164794
"Red Lion Street, Holborn",51.51824,-0.11655,36,POINT (700049.2634064227 5711399.680773103),22171,0,10.40293711819389,9.823243917155905
"Killick Street, King's Cross",51.5338,-0.118677,22,POINT (699833.5552142356 5713123.859345471),200053,0,12.73352335526316,13.815835104166666
"Sail Street, Vauxhall",51.495656,-0.114605,24,POINT (700283.2327100643 5708894.073367559),200039,2,9.596252875243664,10.447384661525279
"St. Katharine's Way, Tower",51.505697,-0.070542,24,POINT (703296.4635742933 5710131.975341608),200049,1,13.940972156862745,12.666981074168799
"Granby Street, Shoreditch",51.525645,-0.069543,37,POINT (703276.9066682142 5712352.588098743),22174,1,11.53058328865058,11.123582817460317
"Bell Lane, Liverpool Street",51.517475,-0.075855,23,POINT (702875.471294764 5711426.713532394),200036,1,11.498088678051866,10.712705086206897
"Fournier Street, Whitechapel",51.519362,-0.074431,18,POINT (702965.8550954314 5711640.462750973),200157,1,12.087043478260869,12.993109608277901
"Fore Street Avenue, Guildhall",51.517842,-0.090075,19,POINT (701887.4640382584 5711428.17194577),200253,1,10.61106985875706,10.226351218637992
"Portman Square, Marylebone",51.516204,-0.155525,17,POINT (697354.5472329254 5711067.438014326),200008,0,11.458372893258426,11.45146292237443
"Clarges Street, Mayfair",51.507326,-0.145827,16,POINT (698065.805795815 5710106.569705442),200088,3,11.839515517241379,11.535595528455286
"Wellington Row, Bethnal Green",51.528222,-0.069743,33,POINT (703251.554073999 5712638.545765805),200165,1,13.172701587301587,13.545220496894409
"Hoxton Station, Hoxton",51.531091,-0.075901,22,POINT (702811.74369592 5712940.42834792),200151,1,10.575877255460588,11.953028095238095
"Albany Street, The Regent's Park",51.528302,-0.144466,27,POINT (698069.173129901 5712442.420861086),200134,0,10.38853377403846,9.313987093495934
"Percival Street, Finsbury",51.526153,-0.102208,22,POINT (701009.2349194228 5712318.784267962),200051,1,10.305478647798742,10.225203578892371
"New Fetter Lane, Holborn",51.517428,-0.107987,21,POINT (700646.8076157956 5711332.855618714),200044,1,10.584921347517732,9.713696590909091
"Westminster Bridge Road, Elephant & Castle",51.498386,-0.107913,26,POINT (700735.6544184977 5709215.938203022),200076,2,10.38571715210356,9.991676599326599
"Gaywood  Street, Elephant & Castle",51.49605,-0.104193,45,POINT (701004.0863286003 5708966.431320187),200132,2,10.679835387205388,10.274810687593424
"King Edward Street, St Pauls",51.51601,-0.0985,20,POINT (701311.1406109063 5711201.266988006),200203,1,9.548587379361543,9.207239268292684
"Page Street, Westminster",51.493978,-0.127554,24,POINT (699391.9018298261 5708672.144219647),200048,3,11.163642219722535,11.612603790688091
"Bury Place, Holborn",51.51742,-0.123189,21,POINT (699592.3336548541 5711290.374855021),200074,0,10.824486117216116,11.053917717717718
"Somerset House, Strand",51.509943,-0.117619,41,POINT (700011.4683714542 5710474.281212816),200068,2,13.749299372759857,14.054673809523809
"Pitfield Street Central, Hoxton",51.53213,-0.08299,30,POINT (702315.5471798282 5713036.309823118),200248,1,10.394987770320656,10.875045158450703
"Eagle Wharf Road, Hoxton",51.53356,-0.09315,45,POINT (701604.6941804232 5713167.240571536),200246,1,10.67902627883651,10.732309981684983
"Queen Street 2, Bank",51.511246,-0.093051,36,POINT (701710.1819755924 5710686.609594937),200128,2,10.383572425014147,10.325329417670684
"New Cavendish Street, Marylebone",51.519167,-0.147983,18,POINT (697864.8796515019 5711417.24760586),200005,0,11.063227389558232,11.66659590909091
"Abingdon Green, Westminster",51.49764,-0.125972,20,POINT (699485.7004948586 5709083.60437273),200231,3,11.87633762685402,12.369195055821372
"Monument Street, Monument",51.50964,-0.08497,22,POINT (702277.9221447001 5710530.366623218),200101,2,12.455377414330218,12.043920652173913
"Hoxton Street, Hoxton",51.52959,-0.0801,27,POINT (702527.2278630007 5712761.908508834),200071,1,9.31773171641791,9.210738070776257
"Greenberry Street, St.John's Wood",51.53256,-0.16862,26,POINT (696375.7501421022 5712850.701108419),200236,0,13.984711515151517,14.233836653116532
"Northdown Street, King's Cross",51.531066,-0.11934,21,POINT (699799.5577004043 5712818.0756348455),200058,1,12.081086123680242,11.938303850574712
"Kingsway Southbound, Strand",51.513875,-0.117774,33,POINT (699983.4867229537 5710911.024641579),200226,2,11.16120759219089,11.500639165409753
"Seymour Place, Marylebone",51.520331,-0.163667,29,POINT (696771.9496224415 5711504.354453924),200198,0,13.110168958742632,12.775936625514403
"Archbishop's Park, Waterloo",51.498241,-0.117495,23,POINT (700071.3429518521 5709173.571098985),300025,2,10.365310526315788,9.821217196969696
"Great Suffolk Street, The Borough",51.501732,-0.100292,21,POINT (701249.7687710027 5709608.887667844),200200,2,9.715969456845238,9.645729042553192
"Buckingham Gate, Westminster",51.498865,-0.137424,16,POINT (698685.6387006223 5709188.641061321),200178,3,15.062540909090908,13.99119175531915
"Blackfriars Station, St. Paul's",51.511934,-0.103078,35,POINT (701011.522699639 5710735.5013135085),200212,1,8.96748550592525,9.465255096935586
"Harris Academy, Bermondsey",51.492668,-0.07235,18,POINT (703228.9948502233 5708678.379133785),300004,2,14.127404688950788,14.391644708994708
"Chicheley Street, South Bank",51.502698,-0.116747,24,POINT (700103.7187189239 5709671.153663825),200206,3,13.538493452380951,13.060491216216217
"St. Bride Street, Holborn",51.515059,-0.105344,25,POINT (700840.5680811899 5711076.719618331),200094,2,10.239083216783216,10.821492267050912
"Snowsfields, London Bridge",51.502153,-0.083632,31,POINT (702403.9403159893 5709701.654713543),200193,2,10.016303243371212,10.850555855855855
"Walworth Square, Walworth",51.491327,-0.096518,24,POINT (701557.5633142444 5708462.435435304),300050,2,12.451766370490038,12.506061175616836
"Duke Street Hill, London Bridge",51.506304,-0.087262,21,POINT (702133.6787802535 5710153.131014298),300083,2,10.484016516966069,10.750595736683849
"Newton Street, Covent Garden",51.516128,-0.120909,24,POINT (699756.144543024 5711152.951555423),300074,0,10.131652395209581,10.5712225024728
"Broadley Terrace, Marylebone",51.524561,-0.165668,18,POINT (696614.9266912006 5711969.277762083),300072,0,16.938059509803924,13.215734964539006
"Storey's Gate, Westminster",51.500703,-0.129698,21,POINT (699213.7656501522 5709414.002473298),200202,3,13.655118698659749,14.47742998643148
"Tallis Street, Temple",51.511891,-0.107349,24,POINT (700715.4125272352 5710718.992834151),300096,2,10.0838460739615,10.594089265536724
"Houndsditch, Aldgate",51.514449,-0.077178,28,POINT (702797.1464323034 5711086.610977677),200072,1,12.63072203765227,12.117202911877396
"Victoria & Albert Museum, South Kensington",51.495898,-0.173009,30,POINT (696228.9566053811 5708762.728753406),300032,3,17.617647154471545,18.437003019323672
"Blackfriars Road, Southwark",51.505461,-0.10454,42,POINT (700938.5875158405 5710011.8066652585),300214,2,9.707887929028505,10.055948767605635
"Cromer Street, Bloomsbury",51.528279,-0.119558,28,POINT (699796.6470480636 5712507.615314662),300205,0,9.35054254606365,10.591057468123863
"Euston Square Gardens, Euston",51.527068,-0.131861,30,POINT (698948.7141651544 5712339.434673073),300203,0,12.787537142857142,13.145808147229115
"Coram Street, Bloomsbury",51.524,-0.126409,29,POINT (699340.2258278949 5712013.172332775),300201,0,10.404529642313546,10.476397775628628
"Ossulston Street, Somers Town",51.5293,-0.128279,30,POINT (699187.386929571 5712597.343710078),300211,0,10.382601467661692,11.628342331980152
"Birkenhead Street, King's Cross",51.530199,-0.122299,27,POINT (699598.1573415846 5712713.600645142),300212,0,11.693312335600906,13.338294685039369
"Kings Gate House, Westminster",51.497698,-0.137598,24,POINT (698678.6410075375 5709058.419013274),300202,3,12.721498850574713,12.598711485319516
"Lavington Street, Bankside",51.505224,-0.098031,29,POINT (701391.2565175104 5710003.3548496105),300208,2,9.150304001650165,8.500658561643835
"Southwark Street, Bankside",51.505409,-0.098341,23,POINT (701368.9312567082 5710023.07006454),300238,2,9.784909544159545,9.172062098393575
"Good's Way, King's Cross",51.534667,-0.125078,27,POINT (699385.9091468374 5713202.78244294),300243,0,11.980565582191781,13.189450112233445
"Lincoln's Inn Fields, Holborn",51.516277,-0.118272,28,POINT (699938.4164947078 5711176.722316811),300240,0,12.396416235011989,12.289443499197432
"Tate Modern, Bankside",51.506725,-0.098807,30,POINT (701330.7944980682 5710168.102189684),300237,2,10.908100546448088,11.046224906367042
"Lambeth Palace Road, Waterloo",51.500089,-0.116628,35,POINT (700123.4102091623 5709381.406045355),300231,2,11.030712622693363,10.818946283909327
"Westminster Pier, Westminster",51.501513,-0.123823,27,POINT (699617.9030205474 5709520.073092179),300249,3,14.470326528258363,13.058196085858587
"Belvedere Road 2, South Bank",51.50621,-0.114842,38,POINT (700220.5026304508 5710066.836031829),300246,2,12.287195679012346,11.456875095238095
"Victory Place, Walworth",51.492807,-0.091938,24,POINT (701868.9012705327 5708639.609396043),300239,2,11.708013495276653,11.125930595581172
"Allington Street, Victoria",51.496863,-0.142943,28,POINT (698311.3408110595 5708951.081375946),300242,3,12.373159285109983,13.2840659447983
"Farringdon Street, Holborn",51.516785,-0.104947,25,POINT (700860.5113426552 5711269.709292027),300220,1,9.691872205513786,10.282467140825036
"Fore Street, Guildhall",51.518093,-0.091401,25,POINT (701794.375475029 5711452.419381433),300222,1,9.768786695906432,10.34389796137339
"Sea Containers, South Bank",51.508033,-0.106823,30,POINT (700768.8713383577 5710291.497523788),200144,2,9.222796581196581,9.148184315008725
"Tower Wharf, Bermondsey",51.500845,-0.074704,20,POINT (703029.2630292688 5709580.968260148),2667,2,12.63227624864278,11.298212663645518
"Temple Gardens, Temple",51.510981,-0.108322,24,POINT (700651.9110976107 5710615.148183223),300250,3,12.047948907103825,12.048592735042735
"Crimscott Street, Bermondsey",51.495598,-0.078893,19,POINT (702761.8792273265 5708985.985819713),300061,2,13.462612499999999,13.312740744157441
"Brandon Street, Walworth",51.489102,-0.091548,22,POINT (701912.3452214567 5708228.759777041),300060,2,12.800082703488371,12.241443827160493
"Strand, Strand",51.512582,-0.115057,35,POINT (700177.6408596024 5710774.6980508175),1100,2,12.512969268292682,11.787231791802684
"Waterloo Place, St. James's",51.506633,-0.131773,20,POINT (699043.9239955844 5710067.664305961),3458,3,12.85057556458898,13.390323686594202
"Horseferry Road, Westminster",51.494816,-0.130458,16,POINT (699186.7028334276 5708757.405095611),1170,3,11.850168610223642,12.240284884376763
"Broadwick Street, Soho",51.513684,-0.13558,18,POINT (698749.0802212467 5710841.259306537),3489,0,13.221393083444891,12.587061954887217
"Golden Square, Soho",51.511897,-0.137043,18,POINT (698655.3657768716 5710638.60251478),3451,0,11.902150172890734,12.135774537037038
"Wardour Street, Soho",51.512515,-0.133201,16,POINT (698919.2118216616 5710717.753705509),1163,0,13.628858981233245,12.729814935364727
"Frith Street, Soho",51.513103,-0.131213,18,POINT (699054.5633347848 5710788.536672089),2660,0,12.613507843137254,13.11176572258533
"Moor Street, Soho",51.513527,-0.13011,16,POINT (699129.2321963983 5710838.679944966),3504,0,12.98773447940948,12.462855285592497
"Soho Square , Soho",51.515631,-0.132328,57,POINT (698966.1913130833 5711066.571887558),1052,0,12.269983981154297,11.692251698960966
"Upper Grosvenor Street, Mayfair",51.51013,-0.155757,18,POINT (697364.7162721711 5710391.488111881),10621,0,11.326587414965987,12.442597701149426
"Park Lane, Mayfair",51.505426,-0.150817,18,POINT (697727.8168774513 5709881.824694509),300093,3,10.37961470125786,11.982140015723271
"Pall Mall East, West End",51.50777,-0.130699,22,POINT (699113.482371636 5710197.001030144),1153,3,13.942108085106382,13.162847777777777
"Green Park Station, Mayfair",51.506613,-0.142844,28,POINT (698275.8695812235 5710035.377121996),200096,3,12.664905868867491,11.882406572029442
